channel,audience,spend,impressions,clicks,conversions,ctr,cpc,cpa,engagement_score,trend_alignment,roas,conversion_rate
Instagram,Men 35-44,500.0,20557,1850,277,0.08999367612005643,0.2702702702702703,1.8050541516245486,0.7,86.64016713499915,5.79,0.15
Facebook,Women 45-60,500.0,16169,161,1,0.00995732574679943,3.1055900621118013,500.0,0.5,97.07246266441643,7.21,0.01
Instagram,Men 45-60,500.0,16979,814,65,0.047941574886624656,0.6142506142506142,7.6923076923076925,0.9,87.6415958012629,0.5,0.08
Pinterest,Men 25-34,500.0,18747,337,10,0.01797620952685763,1.4836795252225519,50.0,0.1,80.78943229220081,0.9098235720808122,0.03
Pinterest,Men 45-60,500.0,16518,1288,167,0.07797554183315171,0.38819875776397517,2.9940119760479043,0.1,90.23801264384039,1.4228282188140011,0.13
Facebook,Women 35-44,500.0,21744,260,5,0.011957321559970566,1.9230769230769231,100.0,1.0,92.68681966217657,6.9,0.02
Pinterest,All Ages,500.0,21033,1261,126,0.05995340655160938,0.3965107057890563,3.9682539682539684,0.1,81.68169837977085,0.6792396019463823,0.1
Pinterest,Men 25-34,500.0,17818,1069,106,0.05999551015826692,0.4677268475210477,4.716981132075472,0.1,94.78106588351822,1.0099220397360686,0.1
Twitter,Men 35-44,500.0,22320,1874,262,0.08396057347670251,0.26680896478121663,1.9083969465648856,0.8,94.50395739340283,1.19,0.14
Facebook,Women 45-60,500.0,16271,390,15,0.02396902464507406,1.2820512820512822,33.333333333333336,0.9,86.97580789874098,1.65,0.04
Instagram,Men 45-60,500.0,18382,882,70,0.04798172124904798,0.5668934240362812,7.142857142857143,0.8,85.62032071687449,2.81,0.08
Twitter,Women 25-34,500.0,20125,603,30,0.029962732919254657,0.8291873963515755,16.666666666666668,0.8,81.06468262286434,5.02,0.05
Pinterest,All Ages,500.0,16131,387,15,0.02399107308908313,1.2919896640826873,33.333333333333336,0.1,88.1549426728798,0.5,0.04
Instagram,Men 18-24,500.0,16339,882,79,0.053981271803659955,0.5668934240362812,6.329113924050633,0.8,97.6085118101866,0.94,0.09
Facebook,Women 25-34,500.0,17368,1354,176,0.07795946568401659,0.36927621861152143,2.840909090909091,0.6,96.31527415169192,0.89,0.13
Instagram,Women 25-34,500.0,18193,654,39,0.03594789204639147,0.764525993883792,12.820512820512821,0.4,87.46510380176711,7.32,0.06
Twitter,Women 18-24,500.0,17674,318,9,0.017992531402059524,1.5723270440251573,55.55555555555556,1.0,80.04704914863699,4.08,0.03
Facebook,Men 25-34,500.0,22347,670,33,0.02998165301830223,0.746268656716418,15.151515151515152,0.8,94.21905857124133,2.16,0.05
Twitter,Men 18-24,500.0,18022,216,4,0.01198535123737654,2.314814814814815,125.0,0.9,92.96863139867177,6.82,0.02
Twitter,Men 25-34,500.0,19025,456,18,0.023968462549277265,1.0964912280701755,27.77777777777778,1.0,89.74041056791998,5.26,0.04
Instagram,Women 25-34,500.0,17767,213,4,0.011988518039061181,2.347417840375587,125.0,0.4,86.39934163264799,0.5,0.02
Twitter,Women 35-44,500.0,16746,703,49,0.041980174369998804,0.7112375533428165,10.204081632653061,0.2,91.50557825279228,3.67,0.07
Twitter,Men 25-34,500.0,16298,293,8,0.01797766597128482,1.7064846416382253,62.5,0.2,89.11391129602751,4.55,0.03
Instagram,Women 18-24,500.0,20561,370,11,0.0179952336948592,1.3513513513513513,45.45454545454545,0.7,86.2265010273716,6.48,0.03
Twitter,Men 35-44,500.0,19032,456,18,0.02395964691046658,1.0964912280701755,27.77777777777778,1.0,91.68341035240779,6.42,0.04
Facebook,Men 45-60,500.0,19028,342,10,0.017973512718099643,1.4619883040935673,50.0,0.5,87.83228721596424,4.0,0.03
Facebook,All Ages,500.0,20009,1440,172,0.07196761457344195,0.3472222222222222,2.9069767441860463,0.2,90.78369841169723,6.72,0.12
Instagram,Women 45-60,500.0,22298,401,12,0.017983675665979013,1.2468827930174564,41.666666666666664,0.2,80.62019487809539,3.28,0.03
Facebook,All Ages,500.0,21321,767,46,0.035973922423901315,0.651890482398957,10.869565217391305,0.6,94.21494837869977,1.08,0.06
Pinterest,Women 45-60,500.0,22281,401,12,0.017997396885238545,1.2468827930174564,41.666666666666664,0.1,87.35930739923538,0.5,0.03
Pinterest,Men 35-44,500.0,18887,453,18,0.023984751416318104,1.1037527593818985,27.77777777777778,0.1,86.22817785721708,0.9366356616313274,0.04
