spend,impressions,clicks,ctr,cpc,trend_alignment,roas,conversion_rate
2185.430534813131,52723.41276914708,3401.0136025607285,0.0645067044019379,0.6425821211557792,83.97926536388331,4.340179917256028,0.10894315662645421
4778.214378844623,268067.938631465,6883.376955110959,0.025677733003998296,0.6941671813130563,41.42604115461049,2.7917048200110712,0.07708266255646312
3793.972738151323,152556.0038411644,8442.477507723335,0.055340185211676926,0.44939092045913376,41.283165988681844,3.36292185295411,0.0707480198752434
3193.9631788866645,169466.2522042973,9739.23453771659,0.057470053246799914,0.3279480709205207,58.769392710673394,3.62829257010337,0.0967857225725205
1202.0838819909643,39430.73631328077,1762.1259710741517,0.04468914699116702,0.6821781766590737,68.34130504347061,3.878904608417803,0.09254008447338698
1201.9753415129119,67095.38036643688,4465.271133050298,0.0665510964937306,0.26918305869857073,84.68363023285201,4.413436199566293,0.12063280704462902
761.3762547568977,27080.68175512653,2177.440930188209,0.08040569103383105,0.3496656300527461,79.6311318431773,4.7484238911242285,0.1237742469317032
4397.7926559872085,89862.32288327238,7170.096402268416,0.07978979590347435,0.6133519564110562,65.8623569698514,3.96757821542164,0.1293499893731393
3205.0175528444397,180170.95611499803,8388.535583736673,0.04655875599828925,0.38207116377478184,55.87034664433662,3.782079478669373,0.09328616651822451
3686.3266000822045,87187.03219643733,1998.9077233471298,0.022926663208852865,1.8441704722164596,97.83322100914725,4.255786395903625,0.10883589473396586
592.630224331111,19422.000993709848,1630.261087048148,0.08393888392736343,0.3635185977505996,64.71851552968643,3.9429143319742446,0.10595661751179423
4864.594334728975,282158.52919685195,20801.535453187462,0.07372286605121539,0.23385746430480753,66.18044741112118,4.449175834181445,0.09829346533393042
4245.991883601898,246370.64688767077,5845.485482071084,0.02372638768422868,0.7263711280482937,49.49018162911681,3.4803849812784726,0.0801968637173556
1455.5259980522428,62496.670138309506,4965.918649198092,0.07945893178321607,0.2931030693157417,86.0989538274959,4.518048725364207,0.11254303773007207
